"","DEP.Result.ID","Activity.ID","year","month","day","time","Activity.Start.Date.Time","lat_deg","lat_min","Org.Decimal.Latitude","lon_deg","lon_min","Org.Decimal.Longitude","Monitoring.Location.ID","Activity.Type","Activity.Depth","Activity.Depth.Unit","Activity.Depth.Top.Bottom.Unit","Sample.Collection.Type","Activity.Top.Depth","Activity.Bottom.Depth","Value.Qualifier","Result.Comments","DEP.Analyte.Name","DEP.Result.Value.Number","DEP.Result.Unit","program","RowID","ProgramID","ProgramName","Habitat","IndicatorID","IndicatorName","ParameterID","ParameterName","ParameterUnits","ProgramLocationID","AreaID","ManagedAreaName","Region","ActivityType","SampleDate","ResultValue","Year","Month","ActivityDepth_m","RelativeDepth","TotalDepth_m","MDL","PQL","DetectionUnit","ValueQualifier","ValueQualifierSource","SampleFraction","ResultComments","OriginalLatitude","OriginalLongitude","SEACAR_QAQCFlagCode","SEACAR_QAQC_Description","Include","SEACAR_EventID","MADup","ExportVersion","data_source","CLIENT SAMPLE ID","LAB SAMPLE ID","MATRIX","COLLECTED","ANALYTE","SAMPLE RESULT","REPORTING LIMIT","UNITS","METHOD","DILUTION","ANALYZED","PREPARED","source_file","SAMPLE COLLECTION DATE","Organization.ID","Org.Latitude..DD.MM.SS.SSSS.","Org.Longitude..DD.MM.SS.SSSS.","WBID","Matrix","Sampling.Agency.Name","DEP.Result.Value.Text","DEP.MDL","DEP.PQL","Sample.Fraction","Lab.ID","Audit.Censored.Decisions"
"...257",NA,NA,NA,NA,NA,NA,"07/17/2024 12:00:00",NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nitrogen__Ammonia",NA,"mg/L","MiamiBeach",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"excel","2","35892699002","Water","07/17/2024","Nitrogen, Ammonia",NA,"0.050","mg/L","350.1 Ammonia","1","07/29/2024","07/29/2024","Results 7-17-2024.xls","7-17-2024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...258",NA,NA,NA,NA,NA,NA,"07/17/2024 12:00:00",NA,NA,NA,NA,NA,NA,"3B",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nitrogen__Ammonia",NA,"mg/L","MiamiBeach",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"excel","3B","35892699003","Water","07/17/2024","Nitrogen, Ammonia",NA,"0.050","mg/L","350.1 Ammonia","1","07/29/2024","07/29/2024","Results 7-17-2024.xls","7-17-2024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...259",NA,NA,NA,NA,NA,NA,"07/17/2024 12:00:00",NA,NA,NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nitrogen__Ammonia",0.082,"mg/L","MiamiBeach",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"excel","3","35892699004","Water","07/17/2024","Nitrogen, Ammonia","0.082","0.050","mg/L","350.1 Ammonia","1","07/29/2024","07/29/2024","Results 7-17-2024.xls","7-17-2024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...260",NA,NA,NA,NA,NA,NA,"07/17/2024 12:00:00",NA,NA,NA,NA,NA,NA,"3A",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nitrogen__Ammonia",1.7,"mg/L","MiamiBeach",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"excel","3A","35892699005","Water","07/17/2024","Nitrogen, Ammonia","1.7","0.050","mg/L","350.1 Ammonia","1","07/29/2024","07/29/2024","Results 7-17-2024.xls","7-17-2024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...261",NA,NA,NA,NA,NA,NA,"07/17/2024 12:00:00",NA,NA,NA,NA,NA,NA,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nitrogen__Ammonia",NA,"mg/L","MiamiBeach",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"excel","4","35892699006","Water","07/17/2024","Nitrogen, Ammonia",NA,"0.050","mg/L","350.1 Ammonia","1","07/29/2024","07/29/2024","Results 7-17-2024.xls","7-17-2024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...262",NA,NA,NA,NA,NA,NA,"07/17/2024 12:00:00",NA,NA,NA,NA,NA,NA,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nitrogen__Ammonia",NA,"mg/L","MiamiBeach",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"excel","5","35892699007","Water","07/17/2024","Nitrogen, Ammonia",NA,"0.050","mg/L","350.1 Ammonia","1","07/29/2024","07/29/2024","Results 7-17-2024.xls","7-17-2024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...263",NA,NA,NA,NA,NA,NA,"07/17/2024 12:00:00",NA,NA,NA,NA,NA,NA,"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nitrogen__Ammonia",NA,"mg/L","MiamiBeach",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"excel","6","35892699008","Water","07/17/2024","Nitrogen, Ammonia",NA,"0.050","mg/L","350.1 Ammonia","1","07/29/2024","07/29/2024","Results 7-17-2024.xls","7-17-2024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...264",NA,NA,NA,NA,NA,NA,"07/17/2024 12:00:00",NA,NA,NA,NA,NA,NA,"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nitrogen__Ammonia",NA,"mg/L","MiamiBeach",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"excel","7","35892699009","Water","07/17/2024","Nitrogen, Ammonia",NA,"0.050","mg/L","350.1 Ammonia","1","07/29/2024","07/29/2024","Results 7-17-2024.xls","7-17-2024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...265",NA,NA,NA,NA,NA,NA,"07/17/2024 12:00:00",NA,NA,NA,NA,NA,NA,"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nitrogen__Ammonia",NA,"mg/L","MiamiBeach",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"excel","8","35892699010","Water","07/17/2024","Nitrogen, Ammonia",NA,"0.050","mg/L","350.1 Ammonia","1","07/29/2024","07/29/2024","Results 7-17-2024.xls","7-17-2024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...266",NA,NA,NA,NA,NA,NA,"07/17/2024 12:00:00",NA,NA,NA,NA,NA,NA,"9",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nitrogen__Ammonia",NA,"mg/L","MiamiBeach",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"excel","9","35892699011","Water","07/17/2024","Nitrogen, Ammonia",NA,"0.050","mg/L","350.1 Ammonia","1","07/29/2024","07/29/2024","Results 7-17-2024.xls","7-17-2024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...267",NA,NA,NA,NA,NA,NA,"07/17/2024 12:00:00",NA,NA,NA,NA,NA,NA,"10",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nitrogen__Ammonia",0.062,"mg/L","MiamiBeach",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"excel","10","35892699012","Water","07/17/2024","Nitrogen, Ammonia","0.062","0.050","mg/L","350.1 Ammonia","1","07/29/2024","07/29/2024","Results 7-17-2024.xls","7-17-2024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...268",NA,NA,NA,NA,NA,NA,"07/17/2024 12:00:00",NA,NA,NA,NA,NA,NA,"11",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nitrogen__Ammonia",0.083,"mg/L","MiamiBeach",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"excel","11","35892699013","Water","07/17/2024","Nitrogen, Ammonia","0.083","0.050","mg/L","350.1 Ammonia","1","07/29/2024","07/29/2024","Results 7-17-2024.xls","7-17-2024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...269",NA,NA,NA,NA,NA,NA,"07/17/2024 12:00:00",NA,NA,NA,NA,NA,NA,"12",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nitrogen__Ammonia",NA,"mg/L","MiamiBeach",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"excel","12","35892699014","Water","07/17/2024","Nitrogen, Ammonia",NA,"0.050","mg/L","350.1 Ammonia","1","07/29/2024","07/29/2024","Results 7-17-2024.xls","7-17-2024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...270",NA,NA,NA,NA,NA,NA,"07/17/2024 12:00:00",NA,NA,NA,NA,NA,NA,"13",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nitrogen__Ammonia",NA,"mg/L","MiamiBeach",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"excel","13","35892699015","Water","07/17/2024","Nitrogen, Ammonia",NA,"0.050","mg/L","350.1 Ammonia","1","07/29/2024","07/29/2024","Results 7-17-2024.xls","7-17-2024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...271",NA,NA,NA,NA,NA,NA,"07/17/2024 12:00:00",NA,NA,NA,NA,NA,NA,"14",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nitrogen__Ammonia",0.046,"mg/L","MiamiBeach",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"excel","14","35892699016","Water","07/17/2024","Nitrogen, Ammonia","0.046","0.050","mg/L","350.1 Ammonia","1","07/29/2024","07/29/2024","Results 7-17-2024.xls","7-17-2024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...272",NA,NA,NA,NA,NA,NA,"07/17/2024 12:00:00",NA,NA,NA,NA,NA,NA,"15",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nitrogen__Ammonia",NA,"mg/L","MiamiBeach",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"excel","15","35892699017","Water","07/17/2024","Nitrogen, Ammonia",NA,"0.050","mg/L","350.1 Ammonia","1","07/29/2024","07/29/2024","Results 7-17-2024.xls","7-17-2024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...273",NA,NA,NA,NA,NA,NA,"07/17/2024 12:00:00",NA,NA,NA,NA,NA,NA,"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nitrogen__Ammonia",0.098,"mg/L","MiamiBeach",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"excel","16","35892699018","Water","07/17/2024","Nitrogen, Ammonia","0.098","0.050","mg/L","350.1 Ammonia","1","07/29/2024","07/29/2024","Results 7-17-2024.xls","7-17-2024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...274",NA,NA,NA,NA,NA,NA,"07/17/2024 12:00:00",NA,NA,NA,NA,NA,NA,"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nitrogen__Ammonia",NA,"mg/L","MiamiBeach",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"excel","17","35892699019","Water","07/17/2024","Nitrogen, Ammonia",NA,"0.050","mg/L","350.1 Ammonia","1","07/29/2024","07/29/2024","Results 7-17-2024.xls","7-17-2024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...275",NA,NA,NA,NA,NA,NA,"07/17/2024 12:00:00",NA,NA,NA,NA,NA,NA,"18",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nitrogen__Ammonia",0.04,"mg/L","MiamiBeach",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"excel","18","35892699020","Water","07/17/2024","Nitrogen, Ammonia","0.040","0.050","mg/L","350.1 Ammonia","1","07/29/2024","07/29/2024","Results 7-17-2024.xls","7-17-2024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...276",NA,NA,NA,NA,NA,NA,"07/17/2024 12:00:00",NA,NA,NA,NA,NA,NA,"19",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nitrogen__Ammonia",NA,"mg/L","MiamiBeach",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"excel","19","35892699021","Water","07/17/2024","Nitrogen, Ammonia",NA,"0.050","mg/L","350.1 Ammonia","1","07/29/2024","07/29/2024","Results 7-17-2024.xls","7-17-2024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...277",NA,NA,NA,NA,NA,NA,"07/17/2024 12:00:00",NA,NA,NA,NA,NA,NA,"20",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nitrogen__Ammonia",NA,"mg/L","MiamiBeach",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"excel","20","35892699022","Water","07/17/2024","Nitrogen, Ammonia",NA,"0.050","mg/L","350.1 Ammonia","1","07/29/2024","07/29/2024","Results 7-17-2024.xls","7-17-2024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...278",NA,NA,NA,NA,NA,NA,"07/17/2024 12:00:00",NA,NA,NA,NA,NA,NA,"21",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nitrogen__Ammonia",NA,"mg/L","MiamiBeach",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"excel","21","35892699023","Water","07/17/2024","Nitrogen, Ammonia",NA,"0.050","mg/L","350.1 Ammonia","1","07/29/2024","07/29/2024","Results 7-17-2024.xls","7-17-2024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...279",NA,NA,NA,NA,NA,NA,"07/17/2024 12:00:00",NA,NA,NA,NA,NA,NA,"22",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nitrogen__Ammonia",NA,"mg/L","MiamiBeach",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"excel","22","35892699024","Water","07/17/2024","Nitrogen, Ammonia",NA,"0.050","mg/L","350.1 Ammonia","1","07/29/2024","07/29/2024","Results 7-17-2024.xls","7-17-2024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...280",NA,NA,NA,NA,NA,NA,"07/17/2024 12:00:00",NA,NA,NA,NA,NA,NA,"23",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nitrogen__Ammonia",NA,"mg/L","MiamiBeach",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"excel","23","35892699025","Water","07/17/2024","Nitrogen, Ammonia",NA,"0.050","mg/L","350.1 Ammonia","1","07/29/2024","07/29/2024","Results 7-17-2024.xls","7-17-2024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...281",NA,NA,NA,NA,NA,NA,"07/17/2024 12:00:00",NA,NA,NA,NA,NA,NA,"24",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nitrogen__Ammonia",NA,"mg/L","MiamiBeach",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"excel","24","35892699026","Water","07/17/2024","Nitrogen, Ammonia",NA,"0.050","mg/L","350.1 Ammonia","1","07/29/2024","07/29/2024","Results 7-17-2024.xls","7-17-2024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...282",NA,NA,NA,NA,NA,NA,"07/17/2024 12:00:00",NA,NA,NA,NA,NA,NA,"25",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nitrogen__Ammonia",NA,"mg/L","MiamiBeach",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"excel","25","35892699027","Water","07/17/2024","Nitrogen, Ammonia",NA,"0.050","mg/L","350.1 Ammonia","1","07/29/2024","07/29/2024","Results 7-17-2024.xls","7-17-2024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...283",NA,NA,NA,NA,NA,NA,"07/18/2024 12:00:00",NA,NA,NA,NA,NA,NA,"26",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nitrogen__Ammonia",0.041,"mg/L","MiamiBeach",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"excel","26","35893185001","Water","07/18/2024","Nitrogen, Ammonia","0.041","0.050","mg/L","350.1 Ammonia","1","07/30/2024","07/30/2024","Results 7-18-2024.xls","7-18-2024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...284",NA,NA,NA,NA,NA,NA,"07/18/2024 12:00:00",NA,NA,NA,NA,NA,NA,"27",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nitrogen__Ammonia",NA,"mg/L","MiamiBeach",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"excel","27","35893185002","Water","07/18/2024","Nitrogen, Ammonia",NA,"0.050","mg/L","350.1 Ammonia","1","07/30/2024","07/30/2024","Results 7-18-2024.xls","7-18-2024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...285",NA,NA,NA,NA,NA,NA,"07/18/2024 12:00:00",NA,NA,NA,NA,NA,NA,"28",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nitrogen__Ammonia",0.33,"mg/L","MiamiBeach",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"excel","28","35893185003","Water","07/18/2024","Nitrogen, Ammonia","0.33","0.050","mg/L","350.1 Ammonia","1","07/30/2024","07/30/2024","Results 7-18-2024.xls","7-18-2024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...286",NA,NA,NA,NA,NA,NA,"07/18/2024 12:00:00",NA,NA,NA,NA,NA,NA,"32",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nitrogen__Ammonia",NA,"mg/L","MiamiBeach",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"excel","32","35893185004","Water","07/18/2024","Nitrogen, Ammonia",NA,"0.050","mg/L","350.1 Ammonia","1","07/30/2024","07/30/2024","Results 7-18-2024.xls","7-18-2024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...287",NA,NA,NA,NA,NA,NA,"07/18/2024 12:00:00",NA,NA,NA,NA,NA,NA,"33",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nitrogen__Ammonia",NA,"mg/L","MiamiBeach",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"excel","33","35893185005","Water","07/18/2024","Nitrogen, Ammonia",NA,"0.050","mg/L","350.1 Ammonia","1","07/30/2024","07/30/2024","Results 7-18-2024.xls","7-18-2024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...288",NA,NA,NA,NA,NA,NA,"07/18/2024 12:00:00",NA,NA,NA,NA,NA,NA,"29",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nitrogen__Ammonia",NA,"mg/L","MiamiBeach",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"excel","29","35893185006","Water","07/18/2024","Nitrogen, Ammonia",NA,"0.050","mg/L","350.1 Ammonia","1","07/30/2024","07/30/2024","Results 7-18-2024.xls","7-18-2024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...289",NA,NA,NA,NA,NA,NA,"07/18/2024 12:00:00",NA,NA,NA,NA,NA,NA,"30",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nitrogen__Ammonia",NA,"mg/L","MiamiBeach",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"excel","30","35893185007","Water","07/18/2024","Nitrogen, Ammonia",NA,"0.050","mg/L","350.1 Ammonia","1","07/30/2024","07/30/2024","Results 7-18-2024.xls","7-18-2024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...290",NA,NA,NA,NA,NA,NA,"07/18/2024 12:00:00",NA,NA,NA,NA,NA,NA,"31",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nitrogen__Ammonia",NA,"mg/L","MiamiBeach",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"excel","31","35893185008","Water","07/18/2024","Nitrogen, Ammonia",NA,"0.050","mg/L","350.1 Ammonia","1","07/30/2024","07/30/2024","Results 7-18-2024.xls","7-18-2024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...291",NA,NA,NA,NA,NA,NA,"07/18/2024 12:00:00",NA,NA,NA,NA,NA,NA,"34",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nitrogen__Ammonia",NA,"mg/L","MiamiBeach",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"excel","34","35893185009","Water","07/18/2024","Nitrogen, Ammonia",NA,"0.050","mg/L","350.1 Ammonia","1","07/30/2024","07/30/2024","Results 7-18-2024.xls","7-18-2024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...292",NA,NA,NA,NA,NA,NA,"07/18/2024 12:00:00",NA,NA,NA,NA,NA,NA,"41",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nitrogen__Ammonia",0.47,"mg/L","MiamiBeach",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"excel","41","35893185010","Water","07/18/2024","Nitrogen, Ammonia","0.47","0.050","mg/L","350.1 Ammonia","1","07/30/2024","07/30/2024","Results 7-18-2024.xls","7-18-2024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...293",NA,NA,NA,NA,NA,NA,"07/18/2024 12:00:00",NA,NA,NA,NA,NA,NA,"40",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nitrogen__Ammonia",0.043,"mg/L","MiamiBeach",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"excel","40","35893185011","Water","07/18/2024","Nitrogen, Ammonia","0.043","0.050","mg/L","350.1 Ammonia","1","07/30/2024","07/30/2024","Results 7-18-2024.xls","7-18-2024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
